ric,data_load,capitalization,current_price,ticker
GDXJ.P,2026-03-31,8.432624,116.21,GDXJ.P
GEM.P,2026-03-31,1.253986,42.25,GEM.P
GLD.P,2026-03-31,152.233776,423.08,GLD.P
GLDM.P,2026-03-31,28.953078,91.15,GLDM.P
GLTR.P,2026-03-31,2.833424,214.76,GLTR.P
GNR.P,2026-03-31,4.873769,74.65,GNR.P
GOF.N,2026-03-31,2.258259,10.94,GOF.N
GOVI.OQ,2026-03-31,1.042747,27.25,GOVI.OQ
GOVT.Z,2026-03-31,40.421451,22.9,GOVT.Z
GPIQ.OQ,2026-03-31,2.986949,48.68,GPIQ.OQ
GPIX.OQ,2026-03-31,3.114546,49.29,GPIX.OQ
GRID.OQ,2026-03-31,7.366865,160.8,GRID.OQ
GRNY.P,2026-03-31,3.746468,23.49,GRNY.P
GSCE.PK,2026-03-31,238.237108,30.0,GSCE.PK
GSEW.Z,2026-03-31,1.550062,83.54,GSEW.Z
GSG.P,2026-03-31,1.037673,32.58,GSG.P
GSIE.P,2026-03-31,5.081804,42.51,GSIE.P
GSLC.P,2026-03-31,13.440419,123.17,GSLC.P
GSST.Z,2026-03-31,1.406982,50.56,GSST.Z
GSUS.Z,2026-03-31,2.65411,87.91,GSUS.Z
GSWO.Z,2026-03-31,1.439399,55.15,GSWO.Z
GSY.P,2026-03-31,3.62223,50.12,GSY.P
GTO.P,2026-03-31,2.10105,46.79,GTO.P
GUNR.P,2026-03-31,7.414504,55.19,GUNR.P
GUSA.P,2026-03-31,1.97681,54.7,GUSA.P
GVI.Z,2026-03-31,3.828495,106.63,GVI.Z
HACK.P,2026-03-31,1.818244,73.94,HACK.P
HDEF.P,2026-03-31,2.216655,32.18,HDEF.P
HDV.P,2026-03-31,13.511922,135.76,HDV.P
HEDJ.P,2026-03-31,1.6863,51.8,HEDJ.P
HEFA.Z,2026-03-31,6.631222,42.01,HEFA.Z
HELO.P,2026-03-31,3.720638,63.59,HELO.P
HFXI.P,2026-03-31,1.374032,33.15,HFXI.P
HGER.N,2026-03-31,2.466738,31.09,HGER.N
HIMU.Z,2026-03-31,2.021012,47.96,HIMU.Z
HODL.Z,2026-03-31,1.130951,18.98,HODL.Z
HTRB.P,2026-03-31,2.251854,33.72,HTRB.P
